2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:11:32,223 - INFO - ############Start Training###########
2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:12:17,547 - INFO - ####################################
2021-01-19 00:12:17,547 - INFO - ############Loading Model###########
2021-01-19 00:12:17,548 - INFO - ####################################
2021-01-19 00:14:33,192 - INFO - Env 09, Goal (-01.7, -05.8), Episode 00012, setp 070, Reward -6.5 , Distance 008.1, Crashed
2021-01-19 00:14:33,994 - INFO - Env 04, Goal (001.2, 000.4), Episode 00010, setp 114, Reward 37.5 , Distance 009.6, Reach Goal
2021-01-19 00:14:34,388 - INFO - Env 01, Goal (005.0, 006.5), Episode 00010, setp 078, Reward -1.4 , Distance 009.0, Crashed
2021-01-19 00:14:34,394 - INFO - Env 04, Goal (-01.8, -00.7), Episode 00011, setp 002, Reward -15.0, Distance 009.3, Crashed
2021-01-19 00:14:34,878 - INFO - Env 08, Goal (-03.0, 002.5), Episode 00010, setp 152, Reward 20.0 , Distance 009.1, Time out
2021-01-19 00:14:36,063 - INFO - Env 06, Goal (-08.6, 002.4), Episode 00011, setp 086, Reward 36.3 , Distance 009.1, Reach Goal
2021-01-19 00:14:38,667 - INFO - Env 07, Goal (003.1, 008.4), Episode 00011, setp 095, Reward 33.7 , Distance 008.1, Reach Goal
2021-01-19 00:14:39,873 - INFO - Env 05, Goal (-03.9, -01.1), Episode 00010, setp 152, Reward 19.3 , Distance 008.6, Time out
2021-01-19 00:14:41,281 - INFO - Env 02, Goal (006.9, 003.8), Episode 00014, setp 079, Reward 33.8 , Distance 008.1, Reach Goal
2021-01-19 00:14:42,058 - INFO - Env 04, Goal (-01.2, -04.7), Episode 00012, setp 048, Reward -6.7 , Distance 008.4, Crashed
2021-01-19 00:14:42,772 - INFO - Env 03, Goal (002.9, 002.8), Episode 00010, setp 086, Reward 36.5 , Distance 009.2, Reach Goal
2021-01-19 00:14:44,858 - INFO - Env 11, Goal (-04.3, 004.6), Episode 00009, setp 105, Reward 38.6 , Distance 010.0, Reach Goal
2021-01-19 00:14:45,707 - INFO - Env 00, Goal (-01.6, 004.4), Episode 00011, setp 103, Reward 37.1 , Distance 009.5, Reach Goal
2021-01-19 00:14:47,457 - INFO - Env 01, Goal (002.8, 004.2), Episode 00011, setp 081, Reward 33.8 , Distance 008.1, Reach Goal
2021-01-19 00:14:47,906 - INFO - Env 10, Goal (-03.3, 004.4), Episode 00011, setp 092, Reward 35.0 , Distance 008.5, Reach Goal
2021-01-19 00:14:48,293 - INFO - Env 08, Goal (-02.7, -04.2), Episode 00011, setp 081, Reward 35.2 , Distance 008.7, Reach Goal
2021-01-19 00:14:48,672 - INFO - Env 08, Goal (005.2, 005.7), Episode 00012, setp 002, Reward -15.0, Distance 009.3, Crashed
2021-01-19 00:14:48,673 - INFO - Env 06, Goal (-03.3, 002.2), Episode 00012, setp 073, Reward 0.5  , Distance 009.6, Crashed
2021-01-19 00:14:49,621 - INFO - Env 04, Goal (-08.7, -00.3), Episode 00013, setp 042, Reward -4.6 , Distance 009.8, Crashed
2021-01-19 00:14:49,989 - INFO - Env 07, Goal (000.5, 000.1), Episode 00012, setp 065, Reward 0.9  , Distance 008.8, Crashed
