2021-01-10 23:38:15,901 - INFO - #####################################
2021-01-10 23:38:15,903 - INFO - ############Start Training###########
2021-01-10 23:38:15,903 - INFO - #####################################
2021-01-10 23:39:59,707 - INFO - Env 07, Goal (002.2, 007.7), Episode 00007, setp 016, Reward -17.1, Distance 009.2, Crashed
2021-01-10 23:40:00,423 - INFO - Env 17, Goal (-03.3, 004.9), Episode 00005, setp 134, Reward -25.6, Distance 008.0, Crashed
2021-01-10 23:40:00,997 - INFO - Env 13, Goal (-04.0, 006.1), Episode 00009, setp 056, Reward -22.8, Distance 008.4, Crashed
2021-01-10 23:40:01,604 - INFO - Env 01, Goal (-01.8, 003.2), Episode 00008, setp 051, Reward -17.7, Distance 008.9, Crashed
2021-01-10 23:40:02,006 - INFO - Env 08, Goal (-04.3, 000.5), Episode 00010, setp 016, Reward -16.2, Distance 009.8, Crashed
2021-01-10 23:40:03,524 - INFO - Env 05, Goal (000.6, 005.9), Episode 00006, setp 152, Reward 6.9  , Distance 008.6, Time out
2021-01-10 23:40:03,901 - INFO - Env 05, Goal (-02.6, 004.6), Episode 00007, setp 002, Reward -15.0, Distance 008.4, Crashed
2021-01-10 23:40:03,904 - INFO - Env 14, Goal (-01.9, -07.8), Episode 00007, setp 152, Reward 16.2 , Distance 008.9, Time out
2021-01-10 23:40:03,908 - INFO - Env 16, Goal (-06.7, 005.4), Episode 00009, setp 037, Reward -19.7, Distance 009.9, Crashed
2021-01-10 23:40:04,306 - INFO - Env 11, Goal (-06.4, -05.4), Episode 00008, setp 073, Reward -12.0, Distance 008.1, Crashed
2021-01-10 23:40:05,318 - INFO - Env 21, Goal (-00.3, 004.3), Episode 00009, setp 044, Reward -9.9 , Distance 008.9, Crashed
2021-01-10 23:40:06,197 - INFO - Env 23, Goal (-03.5, -06.1), Episode 00010, setp 152, Reward -6.9 , Distance 009.0, Time out
2021-01-10 23:40:07,096 - INFO - Env 03, Goal (001.6, 003.4), Episode 00006, setp 152, Reward 1.0  , Distance 009.3, Time out
2021-01-10 23:40:08,109 - INFO - Env 06, Goal (-07.3, 002.2), Episode 00007, setp 141, Reward 2.6  , Distance 009.6, Crashed
2021-01-10 23:40:08,623 - INFO - Env 03, Goal (000.1, 007.1), Episode 00007, setp 010, Reward -15.0, Distance 009.6, Crashed
2021-01-10 23:40:08,893 - INFO - Env 17, Goal (-02.3, 002.5), Episode 00006, setp 050, Reward -22.4, Distance 009.7, Crashed
2021-01-10 23:40:09,512 - INFO - Env 01, Goal (-03.3, 003.9), Episode 00009, setp 047, Reward -20.6, Distance 009.3, Crashed
2021-01-10 23:40:09,900 - INFO - Env 22, Goal (005.1, -05.8), Episode 00004, setp 152, Reward 17.6 , Distance 009.3, Time out
