2021-01-17 16:52:12,540 - INFO - ####################################
2021-01-17 16:52:12,540 - INFO - ############Loading Model###########
2021-01-17 16:52:12,540 - INFO - ####################################
2021-01-17 16:58:03,843 - INFO - Env 11, Goal (-04.0, -07.7), Episode 00011, setp 095, Reward 37.6 , Distance 009.6, Reach Goal
2021-01-17 16:58:07,317 - INFO - Env 06, Goal (008.2, -02.1), Episode 00011, setp 082, Reward 35.5 , Distance 008.7, Reach Goal
2021-01-17 16:58:07,356 - INFO - Env 00, Goal (-07.0, 000.4), Episode 00012, setp 051, Reward -7.5 , Distance 009.8, Crashed
2021-01-17 16:58:07,749 - INFO - Env 01, Goal (006.5, -05.6), Episode 00012, setp 090, Reward 37.0 , Distance 009.5, Reach Goal
2021-01-17 16:58:10,480 - INFO - Env 08, Goal (004.3, -04.6), Episode 00013, setp 099, Reward 38.6 , Distance 009.9, Reach Goal
2021-01-17 16:58:11,534 - INFO - Env 04, Goal (-07.5, -00.1), Episode 00013, setp 101, Reward 36.6 , Distance 009.2, Reach Goal
2021-01-17 16:58:13,521 - INFO - Env 02, Goal (-04.1, 005.3), Episode 00012, setp 080, Reward 34.3 , Distance 008.2, Reach Goal
2021-01-17 16:58:13,942 - INFO - Env 05, Goal (001.6, -02.2), Episode 00014, setp 103, Reward 36.4 , Distance 009.1, Reach Goal
2021-01-17 16:58:14,237 - INFO - Env 09, Goal (001.8, 000.7), Episode 00014, setp 115, Reward 36.5 , Distance 009.1, Reach Goal
2021-01-17 16:58:15,744 - INFO - Env 03, Goal (002.2, 006.4), Episode 00013, setp 093, Reward 36.1 , Distance 009.1, Reach Goal
2021-01-17 16:58:18,127 - INFO - Env 07, Goal (-00.6, -04.6), Episode 00013, setp 099, Reward 34.8 , Distance 008.5, Reach Goal
2021-01-17 16:58:18,620 - INFO - Env 11, Goal (002.9, 007.2), Episode 00012, setp 098, Reward 35.5 , Distance 008.7, Reach Goal
2021-01-17 16:58:20,112 - INFO - Env 01, Goal (004.7, 007.3), Episode 00013, setp 083, Reward 36.0 , Distance 009.0, Reach Goal
2021-01-17 16:58:21,318 - INFO - Env 10, Goal (007.8, 000.5), Episode 00012, setp 130, Reward 38.2 , Distance 009.8, Reach Goal
2021-01-17 16:58:22,648 - INFO - Env 06, Goal (001.0, 007.6), Episode 00012, setp 101, Reward 38.5 , Distance 009.9, Reach Goal
2021-01-17 16:58:23,167 - INFO - Env 04, Goal (004.3, 007.1), Episode 00014, setp 079, Reward 34.9 , Distance 008.5, Reach Goal
2021-01-17 16:58:23,708 - INFO - Env 08, Goal (003.1, 000.5), Episode 00014, setp 088, Reward 37.9 , Distance 009.7, Reach Goal
2021-01-17 16:58:25,054 - INFO - Env 00, Goal (-05.3, 000.0), Episode 00013, setp 113, Reward 7.8  , Distance 009.8, Crashed
2021-01-17 16:58:26,725 - INFO - Env 09, Goal (005.3, -01.2), Episode 00015, setp 082, Reward 34.5 , Distance 008.3, Reach Goal
2021-01-17 16:58:27,179 - INFO - Env 03, Goal (-06.3, 005.9), Episode 00014, setp 072, Reward 33.6 , Distance 008.0, Reach Goal
2021-01-17 16:58:29,438 - INFO - Env 05, Goal (004.8, -01.1), Episode 00015, setp 099, Reward 36.7 , Distance 009.3, Reach Goal
2021-01-17 16:58:29,438 - INFO - Env 02, Goal (001.9, -06.3), Episode 00013, setp 100, Reward 38.1 , Distance 009.8, Reach Goal
2021-01-17 16:58:30,206 - INFO - Env 09, Goal (006.6, -03.4), Episode 00016, setp 020, Reward -10.0, Distance 009.2, Crashed
2021-01-17 16:58:33,029 - INFO - Env 01, Goal (001.4, -01.1), Episode 00014, setp 078, Reward 36.3 , Distance 009.0, Reach Goal
2021-01-17 16:58:34,034 - INFO - Env 11, Goal (-00.6, -06.0), Episode 00013, setp 095, Reward 35.5 , Distance 008.7, Reach Goal
2021-01-17 16:58:35,635 - INFO - Env 10, Goal (-08.7, -00.5), Episode 00013, setp 090, Reward 34.9 , Distance 008.5, Reach Goal
2021-01-17 16:58:36,234 - INFO - Env 07, Goal (000.2, -01.9), Episode 00014, setp 112, Reward 37.5 , Distance 009.6, Reach Goal
2021-01-17 16:58:36,235 - INFO - Env 04, Goal (-03.1, 007.9), Episode 00015, setp 080, Reward 36.4 , Distance 009.2, Reach Goal
2021-01-17 16:58:36,933 - INFO - Env 06, Goal (-01.0, -01.7), Episode 00013, setp 086, Reward 3.3  , Distance 009.6, Crashed
2021-01-17 16:58:37,615 - INFO - Env 08, Goal (-05.9, -02.8), Episode 00015, setp 085, Reward 33.8 , Distance 008.0, Reach Goal
2021-01-17 16:58:39,133 - INFO - Env 00, Goal (003.0, -05.1), Episode 00014, setp 090, Reward 36.5 , Distance 009.1, Reach Goal
2021-01-17 16:58:39,607 - INFO - Env 03, Goal (-04.5, 000.7), Episode 00015, setp 083, Reward 34.8 , Distance 008.4, Reach Goal
2021-01-17 16:58:40,119 - INFO - Env 02, Goal (002.7, -04.6), Episode 00014, setp 070, Reward 34.0 , Distance 008.1, Reach Goal
2021-01-17 16:58:41,732 - INFO - Env 00, Goal (004.3, -04.4), Episode 00015, setp 016, Reward -13.9, Distance 009.3, Crashed
2021-01-17 16:58:43,605 - INFO - Env 01, Goal (001.4, 000.1), Episode 00015, setp 071, Reward 34.4 , Distance 008.3, Reach Goal
