2021-02-04 10:11:26,215 - INFO - ####################################
2021-02-04 10:11:26,216 - INFO - ############Loading Model###########
2021-02-04 10:11:26,216 - INFO - ####################################
2021-02-04 10:13:02,883 - INFO - ####################################
2021-02-04 10:13:04,080 - INFO - ############Loading Model###########
2021-02-04 10:13:04,080 - INFO - ####################################
2021-02-04 10:52:13,219 - INFO - Env 02, Goal (000.0, -08.0), Episode 00020, step 321, Reward 3.1  , Distance 015.9, Crashed
2021-02-04 10:52:37,629 - INFO - Env 06, Goal (000.0, 008.0), Episode 00020, step 5970, Reward 53.4 , Distance 015.9, Reach Goal
2021-02-04 10:52:49,230 - INFO - Env 06, Goal (000.0, 008.0), Episode 00021, step 109, Reward 3.1  , Distance 015.9, Crashed
2021-02-04 10:53:01,247 - INFO - Env 03, Goal (005.7, -05.7), Episode 00013, step 3592, Reward 4.8  , Distance 015.9, Crashed
2021-02-04 10:53:12,434 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00014, step 1122, Reward 1.6  , Distance 015.9, Crashed
2021-02-04 10:53:24,817 - INFO - Env 03, Goal (005.7, -05.7), Episode 00014, step 223, Reward 3.0  , Distance 015.9, Crashed
2021-02-04 10:53:36,511 - INFO - Env 05, Goal (005.7, 005.7), Episode 00017, step 1840, Reward 4.8  , Distance 015.9, Crashed
2021-02-04 10:53:47,837 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00021, step 2344, Reward 5.9  , Distance 015.9, Crashed
2021-02-04 10:54:01,749 - INFO - Env 05, Goal (005.7, 005.7), Episode 00018, step 241, Reward 8.1  , Distance 015.9, Crashed
2021-02-04 10:54:12,109 - INFO - Env 02, Goal (000.0, -08.0), Episode 00021, step 1123, Reward 0.8  , Distance 015.9, Crashed
2021-02-04 10:54:25,526 - INFO - Env 04, Goal (008.0, 000.0), Episode 00015, step 2054, Reward 7.0  , Distance 015.9, Crashed
2021-02-04 10:54:35,033 - INFO - Env 06, Goal (000.0, 008.0), Episode 00022, step 996, Reward -0.1 , Distance 015.9, Crashed
2021-02-04 10:54:45,417 - INFO - Env 03, Goal (005.7, -05.7), Episode 00015, step 758, Reward 2.8  , Distance 015.9, Crashed
2021-02-04 10:54:54,555 - INFO - Env 06, Goal (000.0, 008.0), Episode 00023, step 184, Reward -0.1 , Distance 016.0, Crashed
2021-02-04 10:55:05,325 - INFO - Env 06, Goal (000.0, 008.0), Episode 00024, step 101, Reward 1.9  , Distance 015.9, Crashed
2021-02-04 10:55:15,808 - INFO - Env 03, Goal (005.7, -05.7), Episode 00016, step 284, Reward 2.7  , Distance 015.9, Crashed
2021-02-04 10:55:27,815 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00015, step 1931, Reward 3.4  , Distance 015.9, Crashed
2021-02-04 10:55:40,447 - INFO - Env 04, Goal (008.0, 000.0), Episode 00016, step 699, Reward 6.0  , Distance 015.9, Crashed
2021-02-04 10:55:55,020 - INFO - Env 04, Goal (008.0, 000.0), Episode 00017, step 139, Reward 7.0  , Distance 015.9, Crashed
2021-02-04 10:56:05,234 - INFO - Env 04, Goal (008.0, 000.0), Episode 00018, step 098, Reward 1.7  , Distance 015.9, Crashed
2021-02-04 10:56:18,052 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00022, step 1411, Reward 5.1  , Distance 016.0, Crashed
2021-02-04 10:56:37,146 - INFO - Env 04, Goal (008.0, 000.0), Episode 00019, step 306, Reward 8.1  , Distance 015.9, Crashed
2021-02-04 10:56:47,312 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00023, step 278, Reward 0.9  , Distance 015.9, Crashed
2021-02-04 10:56:59,504 - INFO - Env 03, Goal (005.7, -05.7), Episode 00017, step 980, Reward 4.2  , Distance 015.9, Crashed
2021-02-04 10:57:12,202 - INFO - Env 02, Goal (000.0, -08.0), Episode 00022, step 1696, Reward 5.5  , Distance 015.9, Crashed
2021-02-04 10:57:27,211 - INFO - Env 05, Goal (005.7, 005.7), Episode 00019, step 1932, Reward 9.8  , Distance 015.9, Crashed
2021-02-04 10:57:40,331 - INFO - Env 02, Goal (000.0, -08.0), Episode 00023, step 265, Reward 6.6  , Distance 015.9, Crashed
2021-02-04 10:58:07,543 - INFO - Env 06, Goal (000.0, 008.0), Episode 00025, step 1725, Reward 53.3 , Distance 015.9, Reach Goal
2021-02-04 10:58:33,724 - INFO - Env 02, Goal (000.0, -08.0), Episode 00024, step 515, Reward 53.4 , Distance 015.9, Reach Goal
2021-02-04 10:58:58,729 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00024, step 1257, Reward 53.4 , Distance 015.9, Reach Goal
2021-02-04 10:59:25,036 - INFO - Env 06, Goal (000.0, 008.0), Episode 00026, step 748, Reward 53.5 , Distance 015.9, Reach Goal
2021-02-04 10:59:57,740 - INFO - Env 05, Goal (005.7, 005.7), Episode 00020, step 1448, Reward 16.2 , Distance 015.9, Crashed
2021-02-04 11:00:09,330 - INFO - Env 02, Goal (000.0, -08.0), Episode 00025, step 919, Reward 3.6  , Distance 015.9, Crashed
2021-02-04 11:00:33,830 - INFO - Env 02, Goal (000.0, -08.0), Episode 00026, step 236, Reward 53.5 , Distance 015.9, Reach Goal
2021-02-04 11:00:58,534 - INFO - Env 04, Goal (008.0, 000.0), Episode 00020, step 2503, Reward 53.3 , Distance 015.9, Reach Goal
2021-02-04 11:01:11,148 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00016, step 3279, Reward 5.7  , Distance 015.9, Crashed
2021-02-04 11:01:33,646 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00017, step 216, Reward 13.7 , Distance 015.9, Crashed
