2021-01-26 16:12:24,888 - INFO - #####################################
2021-01-26 16:12:24,890 - INFO - ############Start Training###########
2021-01-26 16:12:24,891 - INFO - #####################################
2021-01-27 15:39:03,212 - INFO - Env 03, Goal (-06.7, 000.9), Episode 00001, step 152, Reward 2.5  , Distance 009.8, Time out
2021-01-27 15:39:03,212 - INFO - Env 07, Goal (-02.4, 003.5), Episode 00001, step 152, Reward 2.7  , Distance 008.7, Time out
2021-01-27 15:39:03,212 - INFO - Env 09, Goal (004.3, -01.0), Episode 00001, step 152, Reward 2.9  , Distance 008.2, Time out
2021-01-27 15:39:03,212 - INFO - Env 06, Goal (000.8, -01.6), Episode 00001, step 152, Reward 3.1  , Distance 009.0, Time out
2021-01-27 15:39:03,213 - INFO - Env 11, Goal (000.5, 003.1), Episode 00001, step 152, Reward 3.1  , Distance 009.6, Time out
2021-01-27 15:39:03,214 - INFO - Env 10, Goal (008.3, 000.6), Episode 00001, step 152, Reward 2.3  , Distance 008.7, Time out
2021-01-27 15:39:03,214 - INFO - Env 08, Goal (003.7, -01.2), Episode 00001, step 152, Reward 2.6  , Distance 009.6, Time out
2021-01-27 15:39:03,215 - INFO - Env 00, Goal (002.5, 008.1), Episode 00001, step 152, Reward 2.2  , Distance 009.8, Time out
2021-01-27 15:39:12,843 - INFO - Env 05, Goal (002.0, 001.2), Episode 00002, step 152, Reward 17.5 , Distance 009.4, Time out
2021-01-27 15:39:18,514 - INFO - Env 04, Goal (003.8, 003.9), Episode 00002, step 152, Reward 9.1  , Distance 008.3, Time out
2021-01-27 15:39:20,428 - INFO - Env 01, Goal (000.6, -02.2), Episode 00002, step 152, Reward 3.3  , Distance 008.9, Time out
2021-01-27 15:39:20,428 - INFO - Env 03, Goal (000.8, -01.9), Episode 00002, step 152, Reward 3.3  , Distance 009.9, Time out
2021-01-27 15:39:20,429 - INFO - Env 02, Goal (007.4, -02.4), Episode 00002, step 152, Reward 2.6  , Distance 009.9, Time out
2021-01-27 15:39:20,429 - INFO - Env 11, Goal (-01.5, -06.7), Episode 00002, step 152, Reward 2.5  , Distance 008.8, Time out
2021-01-27 15:39:20,430 - INFO - Env 09, Goal (-06.3, -02.7), Episode 00002, step 152, Reward 2.5  , Distance 008.2, Time out
2021-01-27 15:39:20,431 - INFO - Env 07, Goal (001.8, -02.1), Episode 00002, step 152, Reward 3.3  , Distance 008.9, Time out
2021-01-27 15:39:20,431 - INFO - Env 06, Goal (-00.5, 004.0), Episode 00002, step 152, Reward 3.3  , Distance 008.6, Time out
2021-01-27 15:39:20,432 - INFO - Env 08, Goal (003.8, -02.9), Episode 00002, step 152, Reward 3.0  , Distance 008.8, Time out
2021-01-27 15:39:20,432 - INFO - Env 10, Goal (001.1, 001.7), Episode 00002, step 152, Reward 3.3  , Distance 009.1, Time out
2021-01-27 15:39:20,436 - INFO - Env 00, Goal (002.6, -06.6), Episode 00002, step 152, Reward 2.5  , Distance 008.5, Time out
2021-01-27 15:39:30,113 - INFO - Env 05, Goal (-06.7, -04.5), Episode 00003, step 152, Reward 15.6 , Distance 008.5, Time out
2021-01-27 15:39:35,425 - INFO - Env 04, Goal (003.3, 003.1), Episode 00003, step 152, Reward 8.5  , Distance 008.2, Time out
2021-01-27 15:39:37,333 - INFO - Env 01, Goal (-01.4, 002.3), Episode 00003, step 152, Reward 3.1  , Distance 008.4, Time out
2021-01-27 15:39:37,334 - INFO - Env 07, Goal (-06.3, 005.9), Episode 00003, step 152, Reward 2.5  , Distance 009.9, Time out
2021-01-27 15:39:37,334 - INFO - Env 06, Goal (-00.0, 002.3), Episode 00003, step 152, Reward 2.9  , Distance 008.2, Time out
2021-01-27 15:39:37,334 - INFO - Env 09, Goal (-05.6, -00.5), Episode 00003, step 152, Reward 2.7  , Distance 009.2, Time out
2021-01-27 15:39:37,335 - INFO - Env 03, Goal (-00.8, -01.1), Episode 00003, step 152, Reward 3.0  , Distance 009.1, Time out
2021-01-27 15:39:37,335 - INFO - Env 02, Goal (002.8, -01.7), Episode 00003, step 152, Reward 2.7  , Distance 008.6, Time out
2021-01-27 15:39:37,335 - INFO - Env 11, Goal (002.3, 004.6), Episode 00003, step 152, Reward 3.0  , Distance 009.7, Time out
